,n,Re_deep,G_deep_sd,Re_L,G_L_sd,Re_A,G_A_sd
0,1000,0.45729256,0.050934948,0.6383652206187803,0.02106147270508763,0.5542122448636033,0.1079660991237342
1,2000,0.38751265,0.040707998,0.6329677295991946,0.0160253813941616,0.4487354499180377,0.11608852175336687
