,n,Bias_deep,SSE_deep,ESE_deep,CP_deep,Bias_L,SSE_L,ESE_L,CP_L,Bias_A,SSE_A,ESE_A,CP_A
0,1000,0.02449367583714901,0.11251213688803753,0.1332022481264571,0.98,-0.4240301031231466,0.14740430529986326,0.1263603268688449,0.11,0.055084135278228086,0.11715475872309618,0.1334830994830633,0.975
1,2000,-0.00013710725011206737,0.08614597283216653,0.08766395354610174,0.95,-0.413650067066914,0.14918694187647427,0.0842270860885103,0.055,0.022026756640262324,0.08945733361062062,0.08795444959116114,0.93
