,n,Re_deep,G_deep_sd,Re_L,G_L_sd,Re_A,G_A_sd
0,1000,0.27158913,0.030454082,0.2895640476496699,0.024996280121013747,0.61468983276619,0.22446795030899985
1,2000,0.22223397,0.022033416,0.2834129980143705,0.02007460358561407,0.3478576072408208,0.11237020880020765
